epoch,acc,loss,val_acc,val_loss
0,0.359797297,1.17051468,0.378125,1.061431754
1,0.404560811,1.086090874,0.4296875,1.04144062
2,0.467060811,1.055566936,0.53828125,0.960368665
3,0.472128378,1.018930165,0.5734375,0.968622318
4,0.504222973,0.987838803,0.47578125,0.994187215
5,0.480574324,0.993789376,0.521875,0.98275712
6,0.53125,0.944399897,0.54609375,0.917222568
7,0.572635135,0.888333509,0.61796875,0.800607358
8,0.603885135,0.823549913,0.65625,0.773230802
9,0.628378378,0.803462568,0.70703125,0.660488132
10,0.642736486,0.778598748,0.73828125,0.633782774
11,0.695945946,0.72694977,0.70703125,0.670666359
12,0.728885135,0.67350066,0.70625,0.739580729
13,0.720439189,0.66821099,0.690625,0.755188832
14,0.745777027,0.637471047,0.7171875,0.695770947
15,0.749155405,0.605035486,0.61484375,0.847068601
16,0.773648649,0.581795005,0.73359375,0.752185368
17,0.771114865,0.583794562,0.68046875,0.929081322
18,0.774493243,0.59397619,0.696875,0.859935694
19,0.755067568,0.612218902,0.73671875,0.72874366
20,0.77027027,0.58892374,0.696875,0.743969111
21,0.782939189,0.551865413,0.6796875,0.824267991
22,0.775337838,0.581846543,0.69140625,0.909991828
23,0.791385135,0.553157685,0.68359375,0.796785802
24,0.784628378,0.550797454,0.746875,0.687874605
25,0.749155405,0.594571416,0.771875,0.632531761
26,0.777027027,0.572048849,0.72265625,0.803564189
27,0.8125,0.499033102,0.7390625,0.74002404
28,0.789695946,0.525898489,0.7171875,0.797379681
29,0.799831081,0.531966964,0.66015625,0.985981201
30,0.790540541,0.526942956,0.73046875,0.760218687
31,0.802364865,0.517385725,0.68359375,0.943690715
32,0.834459459,0.446791361,0.6875,0.956182908
33,0.793918919,0.502050594,0.6953125,0.975054571
34,0.810810811,0.495137518,0.6671875,1.032462315
35,0.810810811,0.483315194,0.7203125,0.829685115
36,0.796452703,0.510565746,0.675,1.216473304
37,0.805743243,0.495332042,0.7125,0.968495383
38,0.810810811,0.487849576,0.7265625,0.977968559
39,0.827702703,0.451855399,0.6796875,1.154670021
40,0.821790541,0.488221005,0.72109375,0.90014569
41,0.809966216,0.479379134,0.76640625,0.804864674
42,0.837837838,0.429701772,0.72109375,0.966388866
43,0.829391892,0.457695756,0.70703125,1.151574911
44,0.828547297,0.464151193,0.72578125,1.109046513
45,0.827702703,0.46214565,0.746875,0.834883294
46,0.850506757,0.418490761,0.71015625,0.898918796
47,0.842905405,0.415634739,0.73046875,0.991892413
48,0.842905405,0.415596908,0.75859375,0.865105598
49,0.818412162,0.455623398,0.69140625,1.078980574
50,0.839527027,0.406417561,0.72109375,1.044087861
51,0.836148649,0.430390907,0.7328125,0.841920074
52,0.859797297,0.394314946,0.7078125,1.02245354
53,0.851351351,0.392714388,0.734375,1.068191448
54,0.856418919,0.381797374,0.69140625,1.510202013
55,0.84375,0.398451345,0.71640625,1.172803771
56,0.86402027,0.351605222,0.746875,1.059168043
57,0.85472973,0.397890146,0.72578125,1.065141138
58,0.853040541,0.379625276,0.72734375,1.193494558
59,0.844594595,0.396155144,0.75625,0.974694557
60,0.853040541,0.387696114,0.7125,1.303821303
61,0.851351351,0.393273629,0.73046875,1.162461602
62,0.861486486,0.37273969,0.70390625,1.399222641
63,0.857263514,0.360535357,0.7234375,1.264589888
64,0.842060811,0.390017453,0.7265625,1.191461494
